ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
1,77,18,12/23/2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
2,80,19,12/25/2024,5,The quality is  top-notch.,0,Positive,0.0 to 0.49
3,50,13,1/26/2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
4,78,15,4/21/2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
5,64,2,7/16/2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
6,81,1,12/21/2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
7,16,1,1/29/2024,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
8,55,8,8/15/2024,5,The quality  is top-notch.,0,Positive,0.0 to 0.49
9,3,13,9/1/2023,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
10,78,6,6/17/2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
11,54,9,7/17/2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
12,77,2,1/13/2025,2,Product did  not meet my expectations.,0,Negative,0.0 to 0.49
13,93,6,8/20/2024,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
14,23,2,6/16/2025,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
15,29,11,1/27/2023,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
16,95,17,1/6/2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
17,88,4,10/29/2025,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
18,17,16,11/23/2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
19,34,13,1/4/2024,4,The quality is top-notch.,0,Positive,0.0 to 0.49
20,34,6,4/29/2023,1,I had a bad experience with this product.,-0.5423,Negative,-1.0 to -0.5
21,22,15,4/8/2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
22,52,3,10/30/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
23,69,18,7/2/2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
24,100,4,7/18/2025,3,"I love this  product, will buy again!",0.6696,Mixed Positive,0.5 to 1.0
25,55,20,12/19/2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
26,76,11,8/21/2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
27,56,6,11/24/2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
28,76,8,5/27/2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
29,38,13,5/31/2023,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
30,84,6,3/18/2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
31,93,4,8/25/2025,3,"Good quality, but could be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
32,91,1,7/15/2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
33,30,2,2/21/2023,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
34,81,15,3/30/2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
35,27,12,3/13/2024,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
36,96,9,12/5/2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
37,38,3,9/11/2023,3,"Average experience, nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
38,45,17,5/7/2024,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
